target,model,calibration,fold,train_events,validation_events,test_events,accuracy,log_loss,brier,ece,mce,roc_auc,feature_set,model_feature_set,status,comparison_sample_events
over_2_5,random_forest,raw_standalone,0,1500.0,300.0,500,0.522,0.694588272926941,0.25051191578789395,0.05698163486127662,0.25505826634449824,0.557585169057377,FULL,,,
over_2_5,gradient_boosting,raw_standalone,0,1500.0,300.0,500,0.53,0.6984776272370673,0.2520933079877314,0.055703656889790634,0.5248791344156809,0.5488361296106558,FULL,,,
over_2_5,hist_gradient_boosting,raw_standalone,0,1500.0,300.0,500,0.52,0.7354992802913607,0.26804326811038093,0.10672988968324626,0.4173171065417842,0.5202196465163934,FULL,,,
over_2_5,ensemble,raw,0,1500.0,300.0,500,0.548,0.6930420202078137,0.24970494831033596,0.04806693366659847,0.8041966390036464,0.5572649846311475,FULL,,,
btts,logistic,raw,0,,,500,0.502,0.6965549358588602,0.2515797924901982,0.10575844203004803,0.7444130719911596,0.559700880631037,,BASELINE,OOS,8206.0
btts,logistic,raw,1,,,500,0.514,0.7059271168127611,0.2561363759513589,0.05235011033056989,0.2031522091697593,0.5107247631414419,,BASELINE,OOS,8206.0
btts,logistic,raw,2,,,500,0.53,0.6926017269513731,0.24964350379834074,0.030201124158440236,0.7047485112573242,0.5407886065165324,,BASELINE,OOS,8206.0
btts,logistic,raw,3,,,500,0.566,0.6801763730669906,0.24361410834556332,0.02573968263013588,0.2993071879507947,0.5885386543281281,,BASELINE,OOS,8206.0
btts,logistic,raw,4,,,500,0.564,0.6861545437663624,0.2464607819178282,0.09208900993532922,0.33685613388788366,0.5399809016434639,,BASELINE,OOS,8206.0
btts,logistic,raw,5,,,500,0.556,0.6894963399919484,0.24813922885999837,0.01642861614610342,0.27198345979043137,0.5574729195667131,,BASELINE,OOS,8206.0
btts,logistic,raw,6,,,500,0.544,0.6871961883255362,0.24705080007342312,0.03876888281584302,0.08595289111933485,0.5683179446005621,,BASELINE,OOS,8206.0
btts,logistic,raw,7,,,500,0.498,0.6927741798975726,0.24983508905771573,0.044642411797030955,0.09881503140857395,0.5211848098017833,,BASELINE,OOS,8206.0
btts,logistic,raw,8,,,500,0.502,0.6968380877946581,0.25181395304094084,0.0422217082271848,0.1605265557074595,0.5020896382764087,,BASELINE,OOS,8206.0
btts,logistic,raw,9,,,500,0.518,0.6933511656883474,0.2501072942143023,0.029054886261690577,0.287289133637874,0.5251829738058552,,BASELINE,OOS,8206.0
cards_high,logistic,raw,0,,,500,0.714,0.9213866753470991,0.259168296170037,0.23261645560712277,0.23434856300811685,0.5004015592250887,,BASELINE,OOS,8206.0
cards_high,logistic,raw,1,,,500,0.842,0.4808767822409578,0.14177853121166584,0.08476017159668696,0.42724906956188197,0.4802008478907965,,BASELINE,OOS,8206.0
cards_high,logistic,raw,2,,,500,0.67,0.7712430935973769,0.26031068669062996,0.1928425607705244,0.33694406177434616,0.48289461781999093,,BASELINE,OOS,8206.0
