target,fold,model_probability,market_probability,divergence,abs_divergence,outcome,odds,market_bucket,scientific_status
home_win,0,0.6015913914445059,0.546413165042339,0.05517822640216685,0.05517822640216685,0,1.7,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.5609867714147503,0.5333333333333333,0.02765343808141696,0.02765343808141696,1,1.75,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.5025059184659555,0.43398484244116475,0.06852107602479074,0.06852107602479074,0,2.15,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.35252932365885625,0.35714285714285715,-0.004613533484000898,0.004613533484000898,0,2.6,2.50–2.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.5288428199084073,0.4333067092651757,0.09553611064323159,0.09553611064323159,0,2.15,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.3976450429924878,0.31870669745958424,0.07893834553290358,0.07893834553290358,0,3.0,3.00–4.00,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.5206459670461021,0.4931506849315069,0.027495282114595232,0.027495282114595232,1,1.9,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.21930812835126715,0.21540750158098748,0.0039006267702796638,0.0039006267702796638,0,4.33,>4.00,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.2569278893835797,0.24305555555555552,0.013872333828024164,0.013872333828024164,0,3.9,3.00–4.00,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.6780626088128469,0.6306306306306306,0.04743197818221623,0.04743197818221623,1,1.5,1.50–1.65,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.29229018946471197,0.3138041733547351,-0.021513983890023125,0.021513983890023125,1,3.0,3.00–4.00,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.4736843595712322,0.4605263157894737,0.013158043781758555,0.013158043781758555,1,2.05,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.48690648721704977,0.47058823529411764,0.016318251922932125,0.016318251922932125,1,2.0,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.46607434021356753,0.479807336050389,-0.013732995836821471,0.013732995836821471,1,1.95,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.4571923507874721,0.550173120294781,-0.09298076950730894,0.09298076950730894,1,1.7,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.31364776193224037,0.34090909090909083,-0.027261328976850463,0.027261328976850463,1,2.75,2.50–2.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.490419973048174,0.48339684267827976,0.007023130369894215,0.007023130369894215,0,1.95,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.5382465946034966,0.49843695727683224,0.039809637326664316,0.039809637326664316,0,1.9,1.66–1.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.3982027905934971,0.34852546916890076,0.049677321424596355,0.049677321424596355,0,2.7,2.50–2.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.3698508608792326,0.3884093711467324,-0.018558510267499828,0.018558510267499828,0,2.4,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.38509584335639707,0.3908239872397638,-0.005728143883366732,0.005728143883366732,0,2.38,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.5107782614421771,0.4146341463414634,0.09614411510071369,0.09614411510071369,0,2.25,2.00–2.49,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.3084316874378291,0.3236831523924407,-0.015251464954611604,0.015251464954611604,0,2.9,2.50–2.99,PREDICTIVE_DIVERGENCE_NON_PIT
home_win,0,0.32657278745868057,0.3039936419630439,0.022579145495636666,0.022579145495636666,0,3.1,3.00–4.00,PREDICTIVE_DIVERGENCE_NON_PIT
