probability,odds,fair_odds,raw_ev,realistic_ev,uncertainty_adjusted_ev,scientific_status,target,odds_bucket
0.7761467889908258,1.22,1.288416075650118,-0.05310091743119255,-0.05310091743119255,-0.05310091743119255,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.48825065274151447,1.96,2.048128342245989,-0.043028720626631656,-0.043028720626631656,-0.043028720626631656,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.5949367088607596,1.6,1.680851063829787,-0.04810126582278468,-0.04810126582278468,-0.04810126582278468,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.6159600997506234,1.54,1.6234817813765183,-0.05142144638403995,-0.05142144638403995,-0.05142144638403995,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.441860465116279,2.16,2.2631578947368425,-0.04558139534883732,-0.04558139534883732,-0.04558139534883732,RESEARCH_ONLY_NON_PIT,over_2_5,2.00–2.49
0.5234374999999999,1.83,1.9104477611940303,-0.04210937500000017,-0.04210937500000017,-0.04210937500000017,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.49868766404199477,1.91,2.0052631578947366,-0.04750656167978995,-0.04750656167978995,-0.04750656167978995,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.6178660049627792,1.54,1.6184738955823292,-0.04848635235731996,-0.04848635235731996,-0.04848635235731996,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.5416666666666667,1.76,1.8461538461538458,-0.04666666666666652,-0.04666666666666652,-0.04666666666666652,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.4739583333333334,2.02,2.1098901098901095,-0.04260416666666644,-0.04260416666666644,-0.04260416666666644,RESEARCH_ONLY_NON_PIT,over_2_5,2.00–2.49
0.5260416666666667,1.82,1.9009900990099007,-0.0426041666666665,-0.0426041666666665,-0.0426041666666665,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.7209302325581396,1.32,1.3870967741935483,-0.04837209302325568,-0.04837209302325568,-0.04837209302325568,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.6030150753768844,1.58,1.6583333333333334,-0.04723618090452264,-0.04723618090452264,-0.04723618090452264,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.7118279569892474,1.34,1.4048338368580058,-0.046150537634408434,-0.046150537634408434,-0.046150537634408434,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.4597402597402597,2.08,2.1751412429378534,-0.04374025974025969,-0.04374025974025969,-0.04374025974025969,RESEARCH_ONLY_NON_PIT,over_2_5,2.00–2.49
0.5466321243523315,1.75,1.8293838862559244,-0.04339378238341979,-0.04339378238341979,-0.04339378238341979,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.4856396866840731,1.97,2.0591397849462365,-0.043289817232376016,-0.043289817232376016,-0.043289817232376016,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.5604113110539846,1.71,1.7844036697247707,-0.04169665809768641,-0.04169665809768641,-0.04169665809768641,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.7170212765957447,1.33,1.3946587537091988,-0.046361702127659554,-0.046361702127659554,-0.046361702127659554,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.6507177033492824,1.46,1.5367647058823528,-0.04995215311004775,-0.04995215311004775,-0.04995215311004775,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.5852417302798981,1.63,1.7086956521739134,-0.04605597964376612,-0.04605597964376612,-0.04605597964376612,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.4571428571428572,2.09,2.1875,-0.04457142857142854,-0.04457142857142854,-0.04457142857142854,RESEARCH_ONLY_NON_PIT,over_2_5,2.00–2.49
0.6265356265356266,1.52,1.596078431372549,-0.04766584766584764,-0.04766584766584764,-0.04766584766584764,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.5078125,1.89,1.9692307692307693,-0.040234375000000044,-0.040234375000000044,-0.040234375000000044,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.5994962216624685,1.59,1.6680672268907564,-0.04680100755667499,-0.04680100755667499,-0.04680100755667499,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.5454545454545455,1.75,1.833333333333333,-0.0454545454545453,-0.0454545454545453,-0.0454545454545453,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.49347258485639683,1.94,2.0264550264550265,-0.04266318537859021,-0.04266318537859021,-0.04266318537859021,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.4791666666666667,2.0,2.0869565217391304,-0.041666666666666574,-0.041666666666666574,-0.041666666666666574,RESEARCH_ONLY_NON_PIT,over_2_5,2.00–2.49
0.6955555555555556,1.37,1.4376996805111821,-0.047088888888888736,-0.047088888888888736,-0.047088888888888736,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.5221932114882506,1.83,1.9150000000000003,-0.04438642297650136,-0.04438642297650136,-0.04438642297650136,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.5934343434343434,1.61,1.6851063829787234,-0.04457070707070704,-0.04457070707070704,-0.04457070707070704,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
0.7605363984674329,1.25,1.314861460957179,-0.04932950191570884,-0.04932950191570884,-0.04932950191570884,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.6563981042654028,1.45,1.5234657039711192,-0.04822274881516597,-0.04822274881516597,-0.04822274881516597,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.5717948717948719,1.67,1.7488789237668159,-0.045102564102564024,-0.045102564102564024,-0.045102564102564024,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.47135416666666663,2.03,2.121546961325967,-0.043151041666666834,-0.043151041666666834,-0.043151041666666834,RESEARCH_ONLY_NON_PIT,over_2_5,2.00–2.49
0.7297297297297297,1.3,1.3703703703703705,-0.051351351351351326,-0.051351351351351326,-0.051351351351351326,RESEARCH_ONLY_NON_PIT,over_2_5,<1.50
0.47135416666666663,2.03,2.121546961325967,-0.043151041666666834,-0.043151041666666834,-0.043151041666666834,RESEARCH_ONLY_NON_PIT,over_2_5,2.00–2.49
0.5340314136125655,1.78,1.8725490196078431,-0.049424083769633476,-0.049424083769633476,-0.049424083769633476,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.4973821989528796,1.92,2.0105263157894737,-0.04502617801047121,-0.04502617801047121,-0.04502617801047121,RESEARCH_ONLY_NON_PIT,over_2_5,1.66–1.99
0.5994962216624685,1.59,1.6680672268907564,-0.04680100755667499,-0.04680100755667499,-0.04680100755667499,RESEARCH_ONLY_NON_PIT,over_2_5,1.50–1.65
