event_id,selection,entry_odds,reference_odds,closing_odds,result,profit_units,clv_proxy
a4a0891a2f55c709a1d8,away,5.75,5.49,8.0,home,-1.0,-0.28125
79d1cdc352d0b83e3d0a,draw,6.0,5.65,6.0,draw,5.0,0.0
07f61de792ca63dba31d,draw,6.0,5.83,6.0,away,-1.0,0.0
17af50feec0c081d61f8,draw,3.5,3.36,4.0,home,-1.0,-0.125
c8263d306bf8530d1ecc,draw,3.3,3.18,3.3,away,-1.0,0.0
db78713290f195a848ff,away,8.0,7.81,10.0,draw,-1.0,-0.19999999999999996
185fc4ded26c95458439,away,4.33,4.16,5.25,home,-1.0,-0.1752380952380952
38131db729cbf137669e,draw,3.6,3.49,3.5,home,-1.0,0.028571428571428692
60ae8e3a90e8e3f0db52,draw,3.3,3.18,3.3,away,-1.0,0.0
642c51a9645a5d74ddd0,draw,3.6,3.51,3.6,home,-1.0,0.0
4c9196242a4e49e5a8b9,away,4.5,4.27,4.75,home,-1.0,-0.052631578947368474
4236ba5781e7b0657a8f,home,3.1,3.0,3.4,draw,-1.0,-0.08823529411764697
9fd9d2a044836204cb0a,away,4.1,3.96,3.9,home,-1.0,0.05128205128205132
071da06b7b46c2827546,away,7.0,6.69,5.5,home,-1.0,0.2727272727272727
7a893f29fd3604869d88,away,3.7,3.48,2.9,draw,-1.0,0.27586206896551735
cdf79ba3fbe370a518bd,home,2.2,2.15,2.15,home,1.2000000000000002,0.023255813953488413
c04913822a68530760e9,home,4.1,3.96,3.9,away,-1.0,0.05128205128205132
0fda5fcd09ccdf3675a4,away,7.0,6.62,9.0,draw,-1.0,-0.2222222222222222
4a8913deee45863d0c1b,away,3.9,3.71,3.9,draw,-1.0,0.0
8cc925127fd040a69af6,away,4.0,3.85,3.7,away,3.0,0.08108108108108092
6fc884f45ce847bcd042,draw,3.7,3.53,3.7,away,-1.0,0.0
035b29fd6e9878e8460e,away,4.5,4.24,4.2,home,-1.0,0.0714285714285714
08d4d90b396f475cc260,draw,3.4,3.3,3.4,home,-1.0,0.0
325d8f3bfe9a1172435f,away,7.0,6.77,6.0,draw,-1.0,0.16666666666666674
41ec262983609a80abe0,home,4.5,4.31,5.25,home,3.5,-0.1428571428571429
d7c6587c47fb12fc63c9,away,2.7,2.64,2.75,draw,-1.0,-0.018181818181818077
6913723c38247e76e44e,draw,3.4,3.27,3.3,draw,2.4,0.030303030303030276
762a432f7cedfad05825,away,4.75,4.57,4.5,home,-1.0,0.05555555555555558
3526eb66de41a783d598,away,7.0,6.65,6.5,home,-1.0,0.07692307692307687
67693d09d292a979797a,home,5.25,5.13,5.25,away,-1.0,0.0
6ccdbe62387d78ac2072,away,5.0,4.51,3.9,away,4.0,0.28205128205128216
f5de2f804b4b7d1ea426,away,8.0,7.56,8.0,home,-1.0,0.0
8d05f2ae9e16360d5b26,home,4.0,3.81,3.8,home,3.0,0.05263157894736836
0ffbb72440b38a9d75bb,draw,3.6,3.52,3.6,home,-1.0,0.0
944329d3dff024c318a8,draw,3.6,3.44,3.5,away,-1.0,0.028571428571428692
97cf58fb12dc72c682e4,draw,3.4,3.33,3.4,home,-1.0,0.0
fc6276f96e99bb556fe7,draw,4.1,3.76,3.8,home,-1.0,0.07894736842105265
888d031bb288163331ea,draw,4.5,4.32,4.33,home,-1.0,0.03926096997690531
b6295bc6608eefb05b7d,draw,3.5,3.34,3.5,home,-1.0,0.0
f18d4f47c7fceffce58f,draw,3.75,3.54,3.7,draw,2.75,0.013513513513513375
40fb939e6191e38b0e3e,draw,3.9,3.75,4.0,draw,2.9,-0.025000000000000022
2109505a6e1e169eea8a,draw,3.6,3.42,3.7,home,-1.0,-0.027027027027027084
c3fa8ced1fcfbfa17fd8,draw,3.7,3.51,3.7,draw,2.7,0.0
791650ef8c4022364125,draw,3.2,3.08,3.3,home,-1.0,-0.030303030303030165
1f246d7899aaee3e2b6c,home,3.9,3.67,3.5,draw,-1.0,0.11428571428571432
e6845ed8c07a8c3f75ea,draw,3.9,3.81,4.0,home,-1.0,-0.025000000000000022
d518b88023ae5fab1891,away,4.33,4.16,4.5,home,-1.0,-0.0377777777777778
0a166f79cb730d0c96be,away,3.75,3.51,3.6,home,-1.0,0.04166666666666674
97571bf2c805cd82f1dc,away,4.2,4.01,5.0,away,3.2,-0.15999999999999992
55114d8d78f21a1eebed,draw,3.5,3.36,3.5,home,-1.0,0.0
c92d2688d23fb1cd9032,draw,3.8,3.71,3.8,home,-1.0,0.0
95039035cc2ccae0913d,draw,3.4,3.33,3.5,draw,2.4,-0.02857142857142858
3706309f7b6933ae3dee,draw,3.9,3.74,3.9,draw,2.9,0.0
9d5234e9284aaf230a61,away,4.0,3.61,3.8,home,-1.0,0.05263157894736836
db26eb732eb7ab10dd7a,away,4.75,4.62,5.25,away,3.75,-0.09523809523809523
647ce2fdcc7a33df4823,away,4.1,3.84,4.2,draw,-1.0,-0.023809523809523947
e49bc5b98cd6f3c7b4f1,away,4.2,4.1,4.1,away,3.2,0.024390243902439046
6f999f703ce6d32251e4,away,4.2,3.97,4.5,home,-1.0,-0.06666666666666665
21847f657140c91d1ebe,away,9.5,8.97,9.5,home,-1.0,0.0
b803e68b853146528c9a,draw,3.4,3.27,3.3,draw,2.4,0.030303030303030276
397811a09422c69c586c,draw,3.5,3.29,3.3,draw,2.5,0.06060606060606055
78f0430f536cc145cd96,away,5.5,5.13,5.5,draw,-1.0,0.0
66a6f80bb78730bdf347,away,3.1,3.01,3.25,draw,-1.0,-0.0461538461538461
82f4bef207fca44aaf32,away,4.75,4.51,5.0,home,-1.0,-0.050000000000000044
4b73b35e621f240f3a72,away,2.5,2.42,2.45,draw,-1.0,0.020408163265306145
e4656b85fe509801e416,draw,3.4,3.28,3.4,draw,2.4,0.0
2ce851c6611688443d64,home,2.88,2.81,2.7,away,-1.0,0.06666666666666665
6a705a083b54408d3b91,away,2.7,2.64,2.3,away,1.7000000000000002,0.17391304347826098
5b5ba8c250b3e6c73057,away,5.0,4.74,5.25,draw,-1.0,-0.04761904761904767
e893e04bb709aeabc864,draw,8.0,7.43,9.5,home,-1.0,-0.1578947368421053
d545cb30c871ee93740b,draw,3.4,3.18,3.25,away,-1.0,0.04615384615384621
464ebbf0d12ffe313370,away,3.9,3.81,4.33,away,2.9,-0.09930715935334877
d772b0bfd7a5471d118d,draw,3.1,2.99,3.1,home,-1.0,0.0
a588b8dab37294d438b6,away,3.9,3.75,3.9,home,-1.0,0.0
71f546133624cee79c6d,away,4.5,4.41,6.25,away,3.5,-0.28
8678788952f6ec127213,away,4.2,3.95,4.1,home,-1.0,0.024390243902439046
8adeb9c0b9654434fa0f,home,3.3,3.17,2.75,draw,-1.0,0.19999999999999996
19c1146555fc527227e1,draw,4.0,3.9,4.33,home,-1.0,-0.07621247113163976
0c0745a003ec1e467287,draw,3.25,3.16,3.25,draw,2.25,0.0
