configuration,target,ev_bucket,n,win_rate,mean_ev,median_ev,mean_odds,theoretical_status
FULL,home_win,>20%,13,0.23076923076923078,0.312879732560046,0.2937647029519994,4.817692307692308,COUNTERFACTUAL_NON_PIT
FULL,over_2_5,EV < 0,387,0.4728682170542636,-0.1014104258685606,-0.09516310758609481,1.995736434108527,COUNTERFACTUAL_NON_PIT
FULL,over_2_5,0–2%,27,0.5185185185185185,0.010016851858652876,0.009042883155698567,1.8214814814814817,COUNTERFACTUAL_NON_PIT
FULL,over_2_5,2–5%,42,0.5952380952380952,0.033343648130858695,0.031237260653899646,1.7859523809523812,COUNTERFACTUAL_NON_PIT
FULL,over_2_5,5–10%,32,0.5,0.06643403242648137,0.06567370375784676,1.893125,COUNTERFACTUAL_NON_PIT
FULL,over_2_5,10–15%,10,0.5,0.11689740784983507,0.1131435089103271,1.9469999999999998,COUNTERFACTUAL_NON_PIT
FULL,over_2_5,15–20%,1,0.0,0.1844400867811531,0.1844400867811531,1.88,COUNTERFACTUAL_NON_PIT
FULL,over_2_5,>20%,1,1.0,0.2137234701020796,0.2137234701020796,1.88,COUNTERFACTUAL_NON_PIT
MARKET,home_win,EV < 0,339,0.45132743362831856,-0.05326186695214816,-0.04748253849851791,2.2853097345132745,COUNTERFACTUAL_NON_PIT
MARKET,home_win,0–2%,52,0.4807692307692308,0.01078583917302692,0.010591972699895646,2.283846153846154,COUNTERFACTUAL_NON_PIT
MARKET,home_win,2–5%,48,0.5833333333333334,0.033863227822407915,0.03361853718591301,2.155625,COUNTERFACTUAL_NON_PIT
MARKET,home_win,5–10%,34,0.2647058823529412,0.07047225851071869,0.07047716596253739,3.143823529411765,COUNTERFACTUAL_NON_PIT
MARKET,home_win,10–15%,13,0.38461538461538464,0.12467116159870825,0.12537335044235975,4.017692307692308,COUNTERFACTUAL_NON_PIT
MARKET,home_win,15–20%,4,0.0,0.16349892852565212,0.15891147725246302,5.6125,COUNTERFACTUAL_NON_PIT
MARKET,home_win,>20%,10,0.1,0.317747747274373,0.30891801456801815,7.3,COUNTERFACTUAL_NON_PIT
MARKET,over_2_5,EV < 0,421,0.47980997624703087,-0.07395978730327749,-0.0655674201620392,1.9847980997624703,COUNTERFACTUAL_NON_PIT
MARKET,over_2_5,0–2%,40,0.5,0.007840316951950903,0.007077359626656676,1.8497500000000002,COUNTERFACTUAL_NON_PIT
MARKET,over_2_5,2–5%,34,0.5588235294117647,0.03475737291297716,0.03573178771389096,1.7841176470588234,COUNTERFACTUAL_NON_PIT
MARKET,over_2_5,5–10%,4,0.5,0.06674432579714379,0.06830820488492506,2.03,COUNTERFACTUAL_NON_PIT
MARKET,over_2_5,10–15%,1,1.0,0.10157684785139254,0.10157684785139254,1.98,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,home_win,EV < 0,500,0.442,-0.06345320929323531,-0.06402552588040655,2.50304,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,over_2_5,EV < 0,500,0.488,-0.04901746995191887,-0.05143603133159258,1.9607,COUNTERFACTUAL_NON_PIT
