target,fold,match_id,kickoff_timestamp,configuration,probability,market_probability,odds,outcome,pit_status,data_quality,uncertainty,decision_status,research_holdout_locked
home_win,0,44e422d3ec241fff23f6,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.5327102803738317,0.5327102803738317,1.75,1,NON_PIT,1.0,0.9345794392523366,COUNTERFACTUAL_NON_PIT,False
home_win,0,46b77b6bd90160a62b58,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.5072616073735894,0.5072616073735894,1.85,1,NON_PIT,1.0,0.9854767852528212,COUNTERFACTUAL_NON_PIT,False
home_win,0,4b219552d54420a8dce3,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.2936129647283127,0.2936129647283127,3.25,0,NON_PIT,1.0,0.5872259294566254,COUNTERFACTUAL_NON_PIT,False
home_win,0,5295734838a8e940e135,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.5583308845136645,0.5583308845136645,1.67,1,NON_PIT,1.0,0.883338230972671,COUNTERFACTUAL_NON_PIT,False
home_win,0,5e71638381af643a8a41,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.4247787610619469,0.4247787610619469,2.2,1,NON_PIT,1.0,0.8495575221238938,COUNTERFACTUAL_NON_PIT,False
home_win,0,5f70ba1cf7c996d883e7,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.41883568448241604,0.41883568448241604,2.25,1,NON_PIT,1.0,0.8376713689648321,COUNTERFACTUAL_NON_PIT,False
home_win,0,6265621764c5cdab9665,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.5704256252742431,0.5704256252742431,1.65,0,NON_PIT,1.0,0.8591487494515138,COUNTERFACTUAL_NON_PIT,False
home_win,0,6912849fe3755bcd1771,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.3450439146800502,0.3450439146800502,2.7,1,NON_PIT,1.0,0.6900878293601004,COUNTERFACTUAL_NON_PIT,False
home_win,0,6a27f35c00d5eed2ee05,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.5051038366772262,0.5051038366772262,1.85,0,NON_PIT,1.0,0.9897923266455475,COUNTERFACTUAL_NON_PIT,False
home_win,0,6cfd53ff18a079207cb1,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.39215686274509803,0.39215686274509803,2.4,0,NON_PIT,1.0,0.7843137254901961,COUNTERFACTUAL_NON_PIT,False
home_win,0,6e39a525136f1a0b1cb0,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.4146032477254405,0.4146032477254405,2.3,1,NON_PIT,1.0,0.829206495450881,COUNTERFACTUAL_NON_PIT,False
home_win,0,8233b804a0ba4f642b25,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.2222222222222222,0.2222222222222222,4.2,1,NON_PIT,1.0,0.4444444444444444,COUNTERFACTUAL_NON_PIT,False
home_win,0,830091a1468f540a850b,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.4359404280501035,0.4359404280501035,2.15,1,NON_PIT,1.0,0.871880856100207,COUNTERFACTUAL_NON_PIT,False
home_win,0,89246ca21a8f93f4dc07,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.44321329639889195,0.44321329639889195,2.1,0,NON_PIT,1.0,0.8864265927977839,COUNTERFACTUAL_NON_PIT,False
home_win,0,98395fbf89c18517dedd,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.43421052631578944,0.43421052631578944,2.15,1,NON_PIT,1.0,0.8684210526315789,COUNTERFACTUAL_NON_PIT,False
home_win,0,9c6a73c4497c665a930b,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.4776622646810902,0.4776622646810902,1.95,0,NON_PIT,1.0,0.9553245293621804,COUNTERFACTUAL_NON_PIT,False
home_win,0,9ded14064b7fd29d6cce,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.4034582132564842,0.4034582132564842,2.3,0,NON_PIT,1.0,0.8069164265129684,COUNTERFACTUAL_NON_PIT,False
home_win,0,a0aa4415cfdfdbb2cae8,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.5959637003927942,0.5959637003927942,1.57,1,NON_PIT,1.0,0.8080725992144115,COUNTERFACTUAL_NON_PIT,False
home_win,0,ab7b8efaa7227aed8a00,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.578368999421631,0.578368999421631,1.62,0,NON_PIT,1.0,0.843262001156738,COUNTERFACTUAL_NON_PIT,False
home_win,0,c07f342f63e84989808e,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.33539731682146534,0.33539731682146534,2.8,0,NON_PIT,1.0,0.6707946336429307,COUNTERFACTUAL_NON_PIT,False
home_win,0,c0a88b5ad6fcb105aa00,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.5220012055455093,0.5220012055455093,1.8,1,NON_PIT,1.0,0.9559975889089813,COUNTERFACTUAL_NON_PIT,False
home_win,0,c30bd39d13ef65b10e16,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.44365361803084225,0.44365361803084225,2.1,1,NON_PIT,1.0,0.8873072360616845,COUNTERFACTUAL_NON_PIT,False
home_win,0,c85bc42fb1027ff2d168,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.308466051969824,0.308466051969824,3.0,0,NON_PIT,1.0,0.616932103939648,COUNTERFACTUAL_NON_PIT,False
home_win,0,cf14d16f796330f1d5fd,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.7729729729729731,0.7729729729729731,1.2,1,NON_PIT,1.0,0.45405405405405386,COUNTERFACTUAL_NON_PIT,False
home_win,0,d272ad2f567169850277,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.37231960694508065,0.37231960694508065,2.5,1,NON_PIT,1.0,0.7446392138901613,COUNTERFACTUAL_NON_PIT,False
home_win,0,dad313a8f57c50ce9d21,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.4374145674672916,0.4374145674672916,2.15,1,NON_PIT,1.0,0.8748291349345833,COUNTERFACTUAL_NON_PIT,False
home_win,0,dad55e83b5eafa0fa678,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.7099057574385776,0.7099057574385776,1.33,1,NON_PIT,1.0,0.5801884851228447,COUNTERFACTUAL_NON_PIT,False
home_win,0,e7b80246145f44442b61,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.6100322159112963,0.6100322159112963,1.53,1,NON_PIT,1.0,0.7799355681774074,COUNTERFACTUAL_NON_PIT,False
home_win,0,f16ecb7127d52456df4b,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.4254313401087213,0.4254313401087213,2.2,0,NON_PIT,1.0,0.8508626802174426,COUNTERFACTUAL_NON_PIT,False
home_win,0,fcdfa192572b517593f1,2024-12-26 15:00:00+00:00,MARKET_ONLY,0.327653997378768,0.327653997378768,2.88,1,NON_PIT,1.0,0.655307994757536,COUNTERFACTUAL_NON_PIT,False
home_win,0,03cbd55057ee10bc3bb4,2024-12-26 17:30:00+00:00,MARKET_ONLY,0.3516483516483516,0.3516483516483516,2.7,1,NON_PIT,1.0,0.7032967032967032,COUNTERFACTUAL_NON_PIT,False
home_win,0,4c87b79a1bbd3cb7a0d3,2024-12-26 17:30:00+00:00,MARKET_ONLY,0.24414426863815383,0.24414426863815383,3.9,1,NON_PIT,1.0,0.4882885372763077,COUNTERFACTUAL_NON_PIT,False
home_win,0,2613da9d862b9dbf0bad,2024-12-26 20:00:00+00:00,MARKET_ONLY,0.8795411089866157,0.8795411089866157,1.08,1,NON_PIT,1.0,0.2409177820267685,COUNTERFACTUAL_NON_PIT,False
