hypothesis,outcome,N_segment,N_complement,effect_size,p_value,test_stat,fdr_adjusted_p,significant_fdr_05,abs_effect,score,promotion_status
division_label=FIRST vs rest: over25,over25,1481,2213,0.0706512038464015,2.6973059841446713e-05,,0.0005214791569346364,True,0.0706512038464015,0.5773701111207669,EXPLORATORY_SIGNIFICANT_FDR
season=2025-26 vs rest: total_goals,total_goals,1618,2066,0.11897493948165438,0.025222656393312618,2.2389391040767985,0.08605376887130188,False,0.11897493948165438,0.5251306001775705,EXPLORATORY
SECOND vs rest: total cards,total_cards,552,1889,-0.16703876754052827,0.0793451114023598,-1.7564157598345214,0.1804712337779164,False,0.16703876754052827,0.46457457500909916,EXPLORATORY
competition=Championship vs rest: total_cards,total_cards,552,1889,-0.16703876754052827,0.0793451114023598,-1.7564157598345214,0.1804712337779164,False,0.16703876754052827,0.46457457500909916,EXPLORATORY
division_label=SECOND vs rest: total_cards,total_cards,552,1889,-0.16703876754052827,0.0793451114023598,-1.7564157598345214,0.1804712337779164,False,0.16703876754052827,0.46457457500909916,EXPLORATORY
competition=Premier League vs rest: over25,over25,795,2899,0.06385806426419,0.0015532173807825548,,0.013619906699211886,True,0.06385806426419,0.4616947364251885,EXPLORATORY_SIGNIFICANT_FDR
High pre-match home shot form,home_win,948,2746,0.05906942510932667,0.0015586349158244165,,0.013619906699211886,True,0.05906942510932667,0.42707280546133725,EXPLORATORY_SIGNIFICANT_FDR
High pre-match away shot form,away_win,948,2746,0.0526496538117584,0.002988317493776764,,0.023109655285206976,True,0.0526496538117584,0.3513152536904187,EXPLORATORY_SIGNIFICANT_FDR
FOURTH vs rest: total cards,total_cards,552,1889,0.1513338090086771,0.12402879286582753,1.5395385137554998,0.2524094732006315,False,0.1513338090086771,0.334976912385147,EXPLORATORY
competition=League Two vs rest: total_cards,total_cards,552,1889,0.1513338090086771,0.12402879286582753,1.5395385137554998,0.2524094732006315,False,0.1513338090086771,0.334976912385147,EXPLORATORY
division_label=FOURTH vs rest: total_cards,total_cards,552,1889,0.1513338090086771,0.12402879286582753,1.5395385137554998,0.2524094732006315,False,0.1513338090086771,0.334976912385147,EXPLORATORY
THIRD vs rest: total cards,total_cards,552,1889,-0.13660609478214836,0.15275248013398582,-1.4310490333873827,0.29326329970175874,False,0.13660609478214836,0.2709649662775811,EXPLORATORY
competition=League One vs rest: total_cards,total_cards,552,1889,-0.13660609478214836,0.15275248013398582,-1.4310490333873827,0.29326329970175874,False,0.13660609478214836,0.2709649662775811,EXPLORATORY
division_label=THIRD vs rest: total_cards,total_cards,552,1889,-0.13660609478214836,0.15275248013398582,-1.4310490333873827,0.29326329970175874,False,0.13660609478214836,0.2709649662775811,EXPLORATORY
competition=League Two vs rest: over25,over25,552,3142,-0.05652727423684728,0.014477834075324447,,0.07340402931408241,False,0.05652727423684728,0.2677888322858865,EXPLORATORY
division_label=FOURTH vs rest: over25,over25,552,3142,-0.05652727423684728,0.014477834075324447,,0.07340402931408241,False,0.05652727423684728,0.2677888322858865,EXPLORATORY
season=2023-24 vs rest: away_win,away_win,30,3664,0.12219796215429407,0.16695325281725792,,0.29618259560281557,False,0.12219796215429407,0.2533740728685458,EXPLORATORY
season=2023-24 vs rest: over25,over25,30,3664,0.12978529839883546,0.19922774635867135,,0.3398590967294982,False,0.12978529839883546,0.2423848794603386,EXPLORATORY
FIRST vs rest: total cards,total_cards,785,1656,0.12217222068371303,0.17107098194300555,1.369442295989885,0.29618259560281557,False,0.12217222068371303,0.24054900301102147,EXPLORATORY
