team_id,target_competition,target_n,other_comp_n,target_mean_gd,other_mean_gd,transfer_gap,transferability_class
libertad par,Copa Libertadores,16,22,0.07955026455026454,0.08475018918130374,0.005199924631039202,HIGH_STABILITY
libertad par,Copa Sudamericana,22,16,0.08475018918130374,0.07955026455026454,0.005199924631039202,HIGH_STABILITY
luton,Championship,46,38,-0.8032608695652171,-0.9296218781125904,0.1263610085473733,HIGH_STABILITY
luton,Premier League,38,46,-0.9296218781125904,-0.8032608695652171,0.1263610085473733,HIGH_STABILITY
m gladbach,Bundesliga,68,68,-0.2142018067122784,-0.21502606017531392,0.0008242534630355236,HIGH_STABILITY
m gladbach,Bundesliga 2,68,68,-0.21502606017531392,-0.2142018067122784,0.0008242534630355236,HIGH_STABILITY
mainz,Bundesliga,68,68,0.18228287854722017,0.18336886993603413,0.0010859913888139616,HIGH_STABILITY
mainz,Bundesliga 2,68,68,0.18336886993603413,0.18228287854722017,0.0010859913888139616,HIGH_STABILITY
nacional uru,Copa Libertadores,22,6,0.278392646061819,-0.18002450980392157,0.4584171558657406,HIGH_STABILITY
nacional uru,Copa Sudamericana,6,22,-0.18002450980392157,0.278392646061819,0.4584171558657406,HIGH_STABILITY
norwich,Championship,46,38,-0.2956521739130435,-1.749564816592681,1.4539126426796374,LOW_STABILITY
norwich,Premier League,38,46,-1.749564816592681,-0.2956521739130435,1.4539126426796374,LOW_STABILITY
rb leipzig,Bundesliga,102,68,0.7783641805222572,0.8151504382847665,0.03678625776250932,HIGH_STABILITY
rb leipzig,Bundesliga 2,68,102,0.8151504382847665,0.7783641805222572,0.03678625776250932,HIGH_STABILITY
schalke 04,Bundesliga,34,34,-1.0486160523949635,-1.0364959114959114,0.012120140899052112,HIGH_STABILITY
schalke 04,Bundesliga 2,34,34,-1.0364959114959114,-1.0486160523949635,0.012120140899052112,HIGH_STABILITY
sheffield united,Championship,46,76,0.03913043478260871,-1.3697931341104717,1.4089235688930803,LOW_STABILITY
sheffield united,Premier League,76,46,-1.3697931341104717,0.03913043478260871,1.4089235688930803,LOW_STABILITY
stuttgart,Bundesliga,68,68,-0.41564868436567576,-0.44122838190002367,0.02557969753434791,HIGH_STABILITY
stuttgart,Bundesliga 2,68,68,-0.44122838190002367,-0.41564868436567576,0.02557969753434791,HIGH_STABILITY
sunderland,Championship,46,38,0.7636161665418632,-0.29473684210526324,1.0583530086471264,LOW_STABILITY
sunderland,Premier League,38,46,-0.29473684210526324,0.7636161665418632,1.0583530086471264,LOW_STABILITY
union berlin,Bundesliga,102,68,0.09852187109517287,0.2736496090973703,0.17512773800219744,HIGH_STABILITY
union berlin,Bundesliga 2,68,102,0.2736496090973703,0.09852187109517287,0.17512773800219744,HIGH_STABILITY
watford,Championship,46,38,-0.44673913043478264,-0.815396977858278,0.3686578474234954,HIGH_STABILITY
watford,Premier League,38,46,-0.815396977858278,-0.44673913043478264,0.3686578474234954,HIGH_STABILITY
werder bremen,Bundesliga,68,34,-0.4659554793432958,-0.2898629148629149,0.1760925644803809,HIGH_STABILITY
werder bremen,Bundesliga 2,34,68,-0.2898629148629149,-0.4659554793432958,0.1760925644803809,HIGH_STABILITY
west brom,Championship,46,38,0.10760869565217392,-1.3889872859687098,1.4965959816208838,LOW_STABILITY
west brom,Premier League,38,46,-1.3889872859687098,0.10760869565217392,1.4965959816208838,LOW_STABILITY
wolfsburg,Bundesliga,102,68,-0.17849889357356127,0.07066453447050462,0.24916342804406588,HIGH_STABILITY
wolfsburg,Bundesliga 2,68,102,0.07066453447050462,-0.17849889357356127,0.24916342804406588,HIGH_STABILITY
